inicio.phrase1,Ayoncotic ta jwohc’ tut smajanel taqu’in banti shachoj te jloqu’esej p’olmaliletic bats’il swinquilel lum tseltal te ayic ta jsehp squ’inalel yu’un Chiapas soc nix te ayoncotic ta yutil jwohc’ Yomol A’tel.
inicio.phrase2,Ha’ ini syomel sbah muc’ul slecubtesel a’telil ya jlehcotic xchahpanel hachel yantic sbehlal ta stuqueltayel soc pajal scoltayel jbahcotic ta smajanel taqu’in ta biluc wocolil te yacal jcuxlejalimbel ta jlumalcotic.
inicio.phrase3,Ayotic ta spasel tulan ta sjeltayel sbehlal binut’il ta nopel yaqu’el te majan taqu’in soc nix tut smajanel taqu’in.
inicio.phrase4,"Yacal jlehbelcotic muc’ yach’il sbehlal p’ijubtesel yu’un stuquinel taqu’in, te ich’bil ta  muc’ spisil  bintic ay ta sjoylejal lum qu’inal soc te mach’atic tey ayic ah."
inicio.icon1,Uts stso’bel taqu’in soc binti ay cu’untic 
inicio.icon2,Xcha’ yaqu’el ta a’tel bintic ay cu’un.
inicio.icon3,Xchahpanlanel yantic a’tel yuun ya scoltaoyotic ta taquin yu’un ma jta’htic wocolil.
inicio.phrase5,"Comon Sit Ca’teltic ha’ jun syuqu’el hach’el stomal a’tel, soc ya yich’ puquel ta jujun xuht’ taqu’in banti ay to xan bin ya sc’an pasel."
inicio.phrase6,Ha’ ini jchahp muc’ul a’tel ha’ jun slehel sbehlal yu’un ya xloc’otic ta yaqu’el bahtic ta stojol sc’ahyinel stsaquel coltayel taqu’in te yacal ta c’ohel ta pasel yo’tic ta sjehp squinalel cu’untic.
inicio.phrase7,Jun halbil xchahpanel a’tel ta stojol lec stuquinel taquin ta jun pajal soc ta yomol.
conocenos.territorioTitle1,Na'botic Jbahtic
conocenos.territorioP1,"Ayotic ta sjsehp squinalel jlumaltic yu’un chiapas te smacoj jtsahl squ’inalel Chilon, Sitalá, Yajalon, soc Ocosingo. te squ’ixnal qu’inal ya spas yu’un ya yich’ ts’unel capel ta yaxinal te’ (shachibal a’tel te ya yotseses talel taqu’in ta yutil jnahcotic), te binti ya jcoltay jbahcotic ta sjunal cuxlejalil ha’ te  sit jts’unub cawalcotic hay ta qu’inalcotic; te ixim, chenec’ soc bayel ta chahp te sit tsu’nub awalil te ha’ stuc yu’un jwe’el cucheltic soc lec stuquinel taqu’in ta jwohc’tic soc te ants winiquetic."
conocenos.territorioP2_1,"Ta spisil ini jsehp squ’inalel xcuxlejanilej stalel sc’ahyinel maya tseltal, banti scanantayej scu’hlejal yu’un jc’opojeltic, jtalel jc’ahyineltic soc yantic ta chahp a’telil ta comonal soc a’tel sch’uhunel cajwaltic. spisil ini, ta yomol soc te scanantayel jnantic lum qu’inal, banti  xhu’ ya jcanantaytic ha’ te ya caltic "
conocenos.territorioP2_2,lequil cuxlejalil
conocenos.territorioP2_3," (lequil cuxlejalil soc ta stse’elil qu’inal) soc jcomonaltic, yutsilal qu’inal soc xch’uhunel co’tantic."
conocenos.territorioP3,"Ha’nix hich, ha’ ini jsehp su’inalel ha’ te c’ax me’ba obol ta squ’inal Mexico. Manchucnix ha jun jsehp squ’inalel te nojel ta sc’uhlejal lum qu’inal, ha’tic te ants winic te ya xhilic soc yich’el ta muc’ te jlum jqu’inaltic."
conocenos.territorioP4,Ha’ yu’un la jnopcotic syomel jbahcotic yu’un ya xloc’oncotic ta ha’ ini coltayeletic yu’un taqu’in soc slehbeyel hahchel yan sbehlal cu’uncotic.
conocenos.yomolAtelT1,Yomol A'tel
conocenos.yomolAtelP1_1,Yomol A’tel ya sc’an ya yal ta bats’il c’op tseltal 
conocenos.yomolAtelP1_2,"junax ya xha’tejotic, junax ya xbehenotic, junax ya xwayichinotic"
conocenos.yomolAtelP1_3,". Ha’ jun jwohc’ te syomoj sbah ta jujun muc’ul slecubtesel syomon bah chombajel soc smucu’ubtesel jwohc’ a’teliletic, ha’ hich binut’il te jwohc’ nahinel jloqu’esej p’olmalil ta squ’inalel jlumaltic yu’un chiapas soc jwohc’ jcoltaywanej j’a’teletic te ayic ta stsahlalul squ’inalel republica Mexicana."
conocenos.yomolAtelP2,"Yacal ca’teltaybelcotic ta sbehentesel suhti’b binut’il chahpambil to talel ta shachibal yu’un schahpambeyel yan sbehlal lec stojol a’telil te binti ay cu’untic ta jlum jqu’inaltic yo’tic ini, ta scanantayel xch’ixil c’ahc’al te stsaquel sbah jol co’tantic soc te jnantic lum qu’inal soc joquimbil yu’un yantic jwohc’ chahpanej a’telil te stsacoj sbah jc’optic soc (Toyol snopel hun, jhach a’teliletic, yaqu’el ta a’tel taqu’in, jmambajeletic, yantic yomol p’ijubteseletic, soc yantic xan)."
conocenos.cafeT,Capel ma’ yich’oj chopol pox
conocenos.cafeP1,"Sloqu’esel p’olmalil te chahpambil soc lequil swe’el lum qu’inal, sjelontesel ta pasel, xchonel p’olmalil ta yan jech c’al soc xchonel ta uch’ibal."
conocenos.japonT,Bintic ya xtuhun cu’untic ta sbaxbultayel jbahtic
conocenos.japonP1,"Chahpambil xapon, shampoo, spoxil jnuhculeltic soc luchetic."
conocenos.microfinanczasT,Tut smajanel taqu’in
conocenos.microfinanczasP1,Tut smajanel taqu’in te ya yich’ tuquinel soc xchahpanel a’telil yu’un jwohl nahinel te ayic ta yutil a’tel.
conocenos.mielT,Cha’b ma’ yich’oj chopol pox
conocenos.mielP1,"Sloqu’esel p’olmalil te chahpambil soc lequil swe’el lum qu’inal soc schonel ta jpahm lum,nopol nax sjelontesel ta pasel sloqu’esel p’olmalil."
conocenos.comonT,Comon Sit Ca’teltic
conocenos.comonP1,Comon Sit Ca’teltic hahch xcha’ yaqu’el ta a’teltayel jsuht’uc te slequilal a’telil te ha’ chahpambil talel soc te stojol capel. ta banti la jlehbecotic stuc ha’ me ine taqu’in yu’un shachel yach’il a’teliletic te ha’ nix ya sp’ohltes mohel te shilemal taqu’in yu’un ya yich sutel xan ochel ta majanel yu’un yantic smuc’ubtesel a’telil
conocenos.comonP2,"Ha’ ini jujun caj a’telil ha’ yac’oj talel yo’tan ta ya’teltayel stuquinel jtaqu’intic soc ca’teltic ta banti xhu’ ya scoltay hahchel sbah jwohl nahinel, jun comanal ma’uc teme jsehp squ’inalel."
conocenos.plataformaT,Schicnaji’bal smajanel taqu’in
conocenos.plataformaP1,"Binu’til yacal ta behenel bahel te schaplejal a’tel hahch ta muc’ubel bahel  soc stsacticlanej sbah ta ha’tic nix, ha’nix hich te ochel yu’un ta yantic jechc’al te bintic hay ta yutil a’telil, ha’ ini hach ta tulanijel sc’oblal soc laj yich chahpanel hachel ta a’teltayel."
conocenos.plataformaP2,"comonsitcateltic.com ha’ banti chican ta pasel spisil a’telil soc yan c’opojeletic, ha’ sjambeyejotic yach’il sbehlal, te ya xhu cocheltic ta sna’beyel xan sbehlal, soc binuti’il ya xha’tejotic ta jujun wohc’ c’alal to ini c’ahc’al, yaj na’beycotic xan bahel sbehlal soc slecubtesel te a’telil."
conocenos.plataformaP3,"Ya jnopcotic te ha’ tulan sc’oblal yaq’uel ta na’el sc’asesel ta a’iyel te binti jnopojcotic, ha’ yu¿un te mach’a hich yo’tan ya sc’an ya yil, sloc’tayel, scohtesel ma’uc teme slecubtesel binut’il chahpambil, ya xhu’ ya capsic bint’il yaca c’anic "
conocenos.plataformaP4,li’i
conocenos.plataformaP5,"Te jcaj chahpambil xchicnajtesel a’telil, behlaltesbil talel ta jujun caj soc te jcoltaywanej cu’untic soc quichantic "
mapa.title,Sloc'ombah jpahm qu'inal soc Bintic ay yu'un jsehp squ’inalel
mapa.p1,"Ta yutil talel schahpanel ta jujun caj ini xchicnaji’bal ya jtahtic bayel ta chahp a’telil te ay yu’un ta spisil jsehp squ’inalel,te ya ca’beytic snop’ jpahm swinquilel lum."
mapa.p2,"Li’ ta yan uh baheli, ta scoltabelotic te mach’atic yac’oj sbahic ta a’batinel soc te mach’a yac’oj yo’tan ya jchahpancotic bahel jun sloc’ombah jpahm squ’inalel te jamal ay yu’un ya xhochotic ta yilel bintic yacajtic ta c’ohel ta pasel ta jpahm squ’inal jlumaltic."
contacto.title,Banti xhu' ya jchol jbahtic
contacto.text,Xhu’ ya ts’ihbabotic biluc johc’oyel ma’uc teme ay bin yaca wal:
tipo_de_movimiento,Yantic ta chahp yaqu'el tso'bil taqu'in/sloqu'esel
fecha_banco,Sc'ahc'alel ta snahul squ'ejohbil taqu'in
ermitasXLSX,traduccion_pendiente
comunidadesXLSX,traduccion_pendiente
menu.mapa,traduccion_pendiente
tsumbalil.comunidades,traduccion_pendiente
error.messagePost,traduccion_pendiente
error.message500,traduccion_pendiente
error.message400,traduccion_pendiente
error.message,traduccion_pendiente
error.messageForbidden,traduccion_pendiente
error.extraInfo,traduccion_pendiente
error.mensajeServidor,traduccion_pendiente
inicio.carteras,traduccion_pendiente
aportacionesRetirosXLS,traduccion_pendiente
movimientos.detalle,traduccion_pendiente
movimiento.clase,traduccion_pendiente
bancos.registrosXLSX,traduccion_pendiente
bancoForm.title,traduccion_pendiente
bancoForm.cuenta_banco,traduccion_pendiente
bancoForm.referencia_banco,traduccion_pendiente
bancoForm.fecha,traduccion_pendiente
bancoForm.cantidad,traduccion_pendiente
bancoForm.Movimientos,traduccion_pendiente
bancoForm.Pagos,traduccion_pendiente
bancoForm.EjCredito,traduccion_pendiente
bancoForm.Otros,traduccion_pendiente
bancoForm.respuesta1,traduccion_pendiente
bancoForm.respuesta2,traduccion_pendiente
bancoForm.noCoincideAlert1,traduccion_pendiente
bancoForm.subcuenta,traduccion_pendiente
bancoForm.noCoincideAlert2,traduccion_pendiente
